CV_Interarrival,Arrival_Rate,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high,jobs_in_system_mean,jobs_in_system_std_dev,jobs_in_system_hw,jobs_in_system_ci_low,jobs_in_system_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,throughput_mean,throughput_std_dev,throughput_hw,throughput_ci_low,throughput_ci_high,diverted_jobs_mean,diverted_jobs_std_dev,diverted_jobs_hw,diverted_jobs_ci_low,diverted_jobs_ci_high,avg_servers_mean,avg_servers_std_dev,avg_servers_hw,avg_servers_ci_low,avg_servers_ci_high,scale_out_actions_mean,scale_out_actions_std_dev,scale_out_actions_hw,scale_out_actions_ci_low,scale_out_actions_ci_high,scale_in_actions_mean,scale_in_actions_std_dev,scale_in_actions_hw,scale_in_actions_ci_low,scale_in_actions_ci_high,scale_up_actions_mean,scale_up_actions_std_dev,scale_up_actions_hw,scale_up_actions_ci_low,scale_up_actions_ci_high,scale_down_actions_mean,scale_down_actions_std_dev,scale_down_actions_hw,scale_down_actions_ci_low,scale_down_actions_ci_high,spike_avg_speed_mean,spike_avg_speed_std_dev,spike_avg_speed_hw,spike_avg_speed_ci_low,spike_avg_speed_ci_high,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high
8.0,5.0,3.203668,0.275455,0.016891,3.186776,3.220559,16.333429,3.069880,0.188249,16.145179,16.521678,0.495950,0.061558,0.003775,0.492175,0.499725,5.072155,0.643107,0.039436,5.032719,5.111591,633.290039,154.716835,9.487457,623.802582,642.777496,1.846861,0.425250,0.026077,1.820785,1.872938,13.791992,3.433874,0.210570,13.581422,14.002562,13.791992,3.338026,0.204693,13.587300,13.996685,1.625000,1.300425,0.079744,1.545256,1.704744,1.625000,1.318342,0.080843,1.544157,1.705843,1.021464,0.018599,0.001141,1.020323,1.022604,0.183086,0.063448,0.003891,0.179195,0.186977
8.0,6.5,3.219015,0.261448,0.016032,3.202983,3.235048,21.326131,3.944195,0.241864,21.084268,21.567995,0.610740,0.068969,0.004229,0.606511,0.614970,6.593466,0.834560,0.051176,6.542289,6.644642,1032.890625,175.576246,10.766586,1022.124039,1043.657211,1.746120,0.371904,0.022806,1.723314,1.768926,11.227539,3.022558,0.185348,11.042191,11.412887,11.227539,2.845996,0.174521,11.053019,11.402060,6.747070,1.854822,0.113740,6.633330,6.860811,6.746094,1.862315,0.114200,6.631894,6.860294,1.115755,0.041121,0.002522,1.113233,1.118276,0.328885,0.085916,0.005268,0.323616,0.334153
8.0,8.0,3.307456,0.305822,0.018753,3.288703,3.326209,26.998895,5.350236,0.328084,26.670811,27.326979,0.693405,0.070289,0.004310,0.689095,0.697715,8.115359,1.028309,0.063057,8.052302,8.178417,1267.469727,189.896038,11.644696,1255.825031,1279.114422,1.765968,0.366606,0.022481,1.743487,1.788449,10.285156,2.637932,0.161762,10.123395,10.446918,10.285156,2.593460,0.159035,10.126122,10.444191,9.206055,1.727112,0.105909,9.100146,9.311964,9.207031,1.711359,0.104943,9.102088,9.311974,1.210520,0.052582,0.003224,1.207296,1.213745,0.454976,0.104635,0.006416,0.448560,0.461392
8.0,9.5,3.482020,0.359641,0.022054,3.459966,3.504074,33.812344,7.212248,0.442265,33.370078,34.254609,0.753393,0.069487,0.004261,0.749132,0.757654,9.637256,1.222605,0.074972,9.562284,9.712228,1358.030273,204.650201,12.549442,1345.480831,1370.579716,1.859748,0.404619,0.024812,1.834936,1.884560,10.208008,2.489213,0.152642,10.055366,10.360650,10.208008,2.296815,0.140844,10.067164,10.348852,8.748047,1.977635,0.121271,8.626775,8.869318,8.749023,1.952140,0.119708,8.629315,8.868731,1.277408,0.062886,0.003856,1.273552,1.281264,0.554841,0.113153,0.006939,0.547903,0.561780
8.0,11.0,3.721498,0.380625,0.023340,3.698157,3.744838,41.851052,8.905939,0.546125,41.304927,42.397177,0.794958,0.066770,0.004094,0.790864,0.799053,11.158251,1.413393,0.086671,11.071579,11.244922,1364.179687,238.441504,14.621573,1349.558115,1378.801260,2.004401,0.428172,0.026256,1.978145,2.030658,10.385742,2.226349,0.136523,10.249219,10.522265,10.385742,2.159937,0.132450,10.253292,10.518193,7.584961,2.117886,0.129872,7.455089,7.714833,7.584961,2.082513,0.127703,7.457258,7.712664,1.326845,0.076815,0.004710,1.322135,1.331556,0.628384,0.121443,0.007447,0.620937,0.635831
8.0,12.5,3.957875,0.400810,0.024578,3.933297,3.982454,50.576738,10.880603,0.667214,49.909523,51.243952,0.822935,0.062931,0.003859,0.819076,0.826794,12.679605,1.604956,0.098418,12.581187,12.778023,1304.579102,264.970644,16.248378,1288.330724,1320.827479,2.208732,0.491246,0.030124,2.178608,2.238856,10.546875,1.931817,0.118462,10.428413,10.665337,10.546875,1.975349,0.121131,10.425744,10.668006,6.541016,2.031106,0.124550,6.416465,6.665566,6.541016,2.032069,0.124609,6.416406,6.665625,1.357048,0.087231,0.005349,1.351699,1.362397,0.669958,0.128275,0.007866,0.662092,0.677824
8.0,14.0,4.172695,0.442965,0.027163,4.145532,4.199858,59.707575,12.989132,0.796512,58.911063,60.504087,0.844041,0.059851,0.003670,0.840371,0.847711,14.200224,1.794162,0.110021,14.090203,14.310244,1231.655273,279.158989,17.118427,1214.536846,1248.773701,2.434045,0.535284,0.032824,2.401221,2.466869,10.525391,1.866340,0.114447,10.410944,10.639837,10.524414,1.839979,0.112830,10.411584,10.637244,5.554688,1.951248,0.119653,5.435034,5.674341,5.555664,1.902519,0.116665,5.438999,5.672329,1.384981,0.098655,0.006050,1.378932,1.391031,0.702514,0.133062,0.008160,0.694355,0.710674
12.0,2.0,1.506432,0.362435,0.022225,1.484207,1.528657,3.170413,1.127203,0.069122,3.101291,3.239534,0.246052,0.044629,0.002737,0.243315,0.248788,2.075624,0.373684,0.022915,2.052710,2.098539,0.621094,3.203582,0.196448,0.424646,0.817542,1.317652,0.424672,0.026041,1.291611,1.343694,5.416016,5.028052,0.308327,5.107688,5.724343,5.416016,5.013060,0.307408,5.108608,5.723424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000069,0.000491,0.000030,0.000039,0.000099
12.0,3.5,3.056212,0.374778,0.022982,3.033230,3.079194,11.229508,3.041728,0.186523,11.042985,11.416031,0.335782,0.062764,0.003849,0.331933,0.339631,3.632284,0.653702,0.040086,3.592198,3.672370,270.526367,117.883292,7.228772,263.297596,277.755139,2.495010,0.658057,0.040353,2.454657,2.535363,18.882812,4.708921,0.288758,18.594055,19.171570,18.882812,4.415597,0.270771,18.612042,19.153583,0.065430,0.270072,0.016561,0.048869,0.081991,0.065430,0.266427,0.016338,0.049092,0.081767,1.000638,0.002672,0.000164,1.000475,1.000802,0.061015,0.035476,0.002175,0.058840,0.063191
12.0,5.0,3.126108,0.319680,0.019603,3.106504,3.145711,16.356208,4.071836,0.249691,16.106517,16.605899,0.471994,0.085917,0.005269,0.466726,0.477263,5.188832,0.933097,0.057219,5.131613,5.246051,801.278320,186.248454,11.421021,789.857300,812.699341,2.310271,0.592823,0.036353,2.273918,2.346623,15.441406,3.841493,0.235566,15.205840,15.676972,15.441406,3.612253,0.221509,15.219898,15.662915,2.777344,1.723064,0.105661,2.671683,2.883004,2.777344,1.711680,0.104963,2.672381,2.882306,1.037705,0.027509,0.001687,1.036018,1.039392,0.225892,0.079778,0.004892,0.221000,0.230784
12.0,6.5,3.080705,0.339072,0.020792,3.059913,3.101498,20.971283,5.383631,0.330132,20.641151,21.301415,0.572922,0.094946,0.005822,0.567100,0.578744,6.745317,1.212383,0.074345,6.670972,6.819662,1158.034180,209.547373,12.849744,1145.184436,1170.883923,2.162864,0.557720,0.034200,2.128664,2.197065,12.650391,3.422489,0.209872,12.440519,12.860263,12.650391,3.233325,0.198272,12.452119,12.848663,7.381836,1.791067,0.109831,7.272005,7.491667,7.381836,1.750772,0.107360,7.274476,7.489196,1.138846,0.053858,0.003303,1.135544,1.142149,0.361954,0.105933,0.006496,0.355458,0.368450
12.0,8.0,3.183863,0.419911,0.025750,3.158113,3.209612,26.760722,7.538046,0.462244,26.298478,27.222966,0.638110,0.098250,0.006025,0.632085,0.644135,8.300737,1.488862,0.091299,8.209437,8.392036,1312.710938,238.371841,14.617301,1298.093636,1327.328239,2.228628,0.591901,0.036296,2.192331,2.264924,11.854492,3.144192,0.192806,11.661686,12.047299,11.854492,2.916787,0.178862,11.675631,12.033354,7.698242,1.833157,0.112412,7.585830,7.810654,7.698242,1.756362,0.107703,7.590540,7.805945,1.221615,0.073327,0.004496,1.217118,1.226111,0.466465,0.122672,0.007522,0.458943,0.473988
12.0,9.5,3.379278,0.461324,0.028289,3.350989,3.407567,33.823962,9.975686,0.611723,33.212238,34.435685,0.682271,0.099376,0.006094,0.676177,0.688365,9.857269,1.766544,0.108327,9.748942,9.965596,1327.126953,253.595651,15.550847,1311.576106,1342.677800,2.361685,0.601046,0.036857,2.324828,2.398542,11.869141,2.870360,0.176015,11.693126,12.045155,11.866211,2.640513,0.161920,11.704291,12.028131,6.339844,1.985710,0.121767,6.218077,6.461610,6.340820,1.929869,0.118342,6.222478,6.459163,1.277257,0.084755,0.005197,1.272059,1.282454,0.535615,0.129448,0.007938,0.527677,0.543553
12.0,11.0,3.609850,0.498728,0.030583,3.579267,3.640433,41.833948,12.460487,0.764095,41.069853,42.598043,0.716057,0.098122,0.006017,0.710040,0.722074,11.412593,2.041610,0.125194,11.287398,11.537787,1286.654297,275.723837,16.907779,1269.746518,1303.562076,2.539594,0.635562,0.038974,2.500621,2.578568,11.792969,2.525357,0.154858,11.638110,11.947827,11.792969,2.485955,0.152442,11.640526,11.945411,5.176758,1.831891,0.112334,5.064424,5.289092,5.176758,1.787052,0.109585,5.067173,5.286342,1.320338,0.096579,0.005922,1.314415,1.326260,0.591869,0.137304,0.008420,0.583449,0.600288
12.0,12.5,3.864659,0.519969,0.031885,3.832774,3.896544,50.850864,14.803184,0.907752,49.943112,51.758616,0.740950,0.095325,0.005845,0.735104,0.746795,12.969160,2.321627,0.142366,12.826795,13.111526,1199.175781,295.532147,18.122453,1181.053329,1217.298234,2.789350,0.694063,0.042561,2.746789,2.831911,11.727539,2.332352,0.143023,11.584516,11.870562,11.727539,2.405391,0.147502,11.580037,11.875041,4.425781,1.738630,0.106615,4.319166,4.532397,4.425781,1.637882,0.100437,4.325344,4.526219,1.342813,0.102505,0.006286,1.336527,1.349099,0.616389,0.141659,0.008687,0.607703,0.625076
12.0,14.0,4.090510,0.591495,0.036271,4.054239,4.126781,60.257423,17.823952,1.092990,59.164433,61.350413,0.761426,0.094857,0.005817,0.755610,0.767243,14.527258,2.604074,0.159686,14.367572,14.686943,1116.726562,312.205670,19.144897,1097.581666,1135.871459,3.063417,0.743838,0.045613,3.017803,3.109030,11.431641,2.152816,0.132014,11.299627,11.563654,11.427734,2.351483,0.144196,11.283538,11.571931,3.888672,1.648871,0.101111,3.787561,3.989783,3.889648,1.555280,0.095372,3.794276,3.985020,1.360637,0.115886,0.007106,1.353531,1.367744,0.636433,0.160794,0.009860,0.626573,0.646293
