Band,CV,Lambda,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high
5,8.0,9.5,0.573991,0.113534,0.006962,0.567029,0.580953,0.759343,0.068791,0.004218,0.755125,0.763562,3.447660,0.347112,0.021285,3.426374,3.468945
5,8.0,11.0,0.635842,0.118539,0.007269,0.628573,0.643111,0.797386,0.065818,0.004036,0.793350,0.801422,3.683013,0.392370,0.024061,3.658952,3.707074
5,8.0,12.5,0.686604,0.124263,0.007620,0.678984,0.694224,0.825930,0.064088,0.003930,0.822000,0.829860,3.935938,0.416390,0.025534,3.910405,3.961472
5,8.0,14.0,0.714399,0.139378,0.008547,0.705852,0.722946,0.846495,0.062305,0.003821,0.842675,0.850316,4.162489,0.455514,0.027933,4.134556,4.190422
5,12.0,2.0,0.000103,0.000672,0.000041,0.000062,0.000145,0.246066,0.044629,0.002737,0.243330,0.248803,1.506123,0.361673,0.022178,1.483945,1.528302
5,12.0,3.5,0.066148,0.037460,0.002297,0.063851,0.068445,0.340353,0.063590,0.003899,0.336454,0.344253,3.021871,0.360806,0.022125,2.999746,3.043996
5,12.0,5.0,0.235418,0.079473,0.004873,0.230544,0.240291,0.479385,0.086536,0.005307,0.474078,0.484691,3.087900,0.316977,0.019437,3.068463,3.107338
5,12.0,6.5,0.369313,0.105634,0.006478,0.362836,0.375791,0.578127,0.095214,0.005839,0.572288,0.583966,3.039818,0.343840,0.021085,3.018733,3.060902
5,12.0,8.0,0.478827,0.122565,0.007516,0.471311,0.486343,0.643323,0.098790,0.006058,0.637265,0.649381,3.162052,0.405880,0.024889,3.137163,3.186941
5,12.0,9.5,0.553086,0.131852,0.008085,0.545001,0.561172,0.687778,0.099915,0.006127,0.681651,0.693905,3.369209,0.461671,0.028310,3.340899,3.397519
5,12.0,11.0,0.606260,0.138806,0.008512,0.597749,0.614772,0.719592,0.098224,0.006023,0.713569,0.725615,3.601147,0.503170,0.030855,3.570292,3.632002
